,Name,R,2B,3B,HR,BB,IBB,SO,BA,OBP,SLG,OPS,bbType_flyBall,bbType_groundBall,bbType_lineDrive,bbType_popUp,2BperPA,3BperPA,HRperPA,BBperPA,IBBperPA,SOperPA,p1,p2,p3,p4
116,Corey Dickerson,400,195,30,122,183,27,654,0.284,0.327,0.4970000000000001,0.8240000000000001,0.2307692307692308,0.3999125874125874,0.28277972027972026,0.08610139860139861,0.062439961575408265,0.009606147934678195,0.039065001601024656,0.05859750240153699,0.008645533141210375,0.20941402497598466,-0.17801843576545887,0.07149126392248517,-0.0577614358442277,-0.012152892165626573
117,Derek Dietrich,318,107,21,84,181,14,576,0.245,0.335,0.428,0.762,0.2427958307786634,0.4003678724708768,0.2611894543225015,0.0956468424279583,0.04257859132510943,0.008356545961002786,0.033426183844011144,0.07202546756864306,0.0055710306406685246,0.22920811778750494,-0.19628683923693543,0.0607911243305457,-0.051567800902973235,-0.03058851783460323
118,Greg Dobbs,143,75,3,34,93,17,292,0.26,0.302,0.378,0.68,0.3041978148361127,0.39102932719954,0.21679125934445084,0.08798159861989649,0.04474940334128878,0.0017899761336515516,0.02028639618138425,0.05548926014319809,0.010143198090692123,0.17422434367541767,-0.24439892958136245,0.009630526867437279,-0.07857905745034545,-0.03891482153949123
119,Josh Donaldson,666,228,12,225,575,19,909,0.272,0.369,0.508,0.877,0.2456473567584679,0.4343146565368788,0.2367837923393479,0.08325419436530547,0.04980340760157274,0.002621231979030144,0.0491480996068152,0.1256006989951944,0.004150283966797728,0.19855832241153346,-0.22618581627465165,0.08267386644868621,-0.05681783420411733,-0.030505446782542675
120,Ryan Doumit,277,150,4,83,184,24,472,0.268,0.32299999999999995,0.433,0.7559999999999999,0.2930827668932427,0.4402239104358257,0.1899240303878449,0.07636945221911236,0.0556792873051225,0.0014847809948032665,0.03080920564216778,0.06829992576095026,0.008908685968819599,0.17520415738678544,-0.2812694128300822,0.05024669206295083,-0.08230705179116418,-0.04112379414948477
121,Brian Dozier,664,231,21,192,488,18,973,0.244,0.325,0.441,0.767,0.2874743326488706,0.3839835728952772,0.21560574948665293,0.11293634496919915,0.047142857142857146,0.004285714285714286,0.03918367346938775,0.09959183673469388,0.0036734693877551023,0.19857142857142854,-0.23320323755504996,0.01194111750823254,-0.042692282729142675,-0.036407237650487624
122,J.D. Drew,255,83,11,69,254,17,352,0.263,0.369,0.464,0.833,0.2884076433121019,0.4481528662420382,0.18420382165605093,0.07923566878980892,0.04542966611932129,0.0060207991242474,0.03776683087027915,0.13902572523262174,0.009304871373836893,0.1926655719759168,-0.28001102215619567,0.059697294505898536,-0.07064699591514116,-0.05266529784995149
123,Stephen Drew,478,217,52,106,361,24,776,0.25,0.317,0.425,0.742,0.3266039823008849,0.3711283185840708,0.21211283185840707,0.09015486725663716,0.05329076620825148,0.012770137524557957,0.02603143418467584,0.08865422396856583,0.005893909626719057,0.1905697445972495,-0.23909437688298266,-0.019407247312843323,-0.07767847926405888,-0.04101668755758473
124,Brandon Drury,154,97,4,47,95,3,353,0.248,0.29600000000000004,0.411,0.7070000000000001,0.17783505154639176,0.4785223367697594,0.26374570446735396,0.07989690721649484,0.05987654320987655,0.0024691358024691358,0.029012345679012345,0.05864197530864197,0.001851851851851852,0.21790123456790125,-0.2149214463974835,0.1611723557776235,-0.04849939649896022,-0.019247104934990253
125,Lucas Duda,387,171,4,156,394,33,879,0.239,0.334,0.448,0.782,0.33713784021071114,0.3261633011413521,0.2559262510974539,0.08077260755048288,0.0477520245741413,0.0011170064227869311,0.043563250488690315,0.1100251326445127,0.00921530298799218,0.2454621614074281,-0.19169180163721902,-0.05107349853978092,-0.08904661227700292,-0.020207856271118593
126,Matt Duffy,194,74,9,22,120,1,285,0.282,0.338,0.38,0.718,0.16297935103244834,0.5361356932153393,0.27359882005899705,0.027286135693215342,0.04178430265386787,0.005081874647092038,0.012422360248447204,0.06775832862789384,0.000564652738565782,0.16092603049124787,-0.22581402962258584,0.22237106824764064,-0.09841367405287645,-0.03784873762092796
127,Adam Dunn,477,156,2,224,642,54,1287,0.226,0.349,0.462,0.8109999999999999,0.3432343234323432,0.3482948294829483,0.2136413641364137,0.0946094609460946,0.036879432624113466,0.00047281323877068567,0.05295508274231679,0.15177304964539007,0.01276595744680851,0.30425531914893617,-0.2305714245446991,-0.045410821830028494,-0.07057726360472871,-0.03781940986667972
128,Adam Duvall,276,104,10,113,148,6,590,0.233,0.293,0.468,0.7609999999999999,0.3131170662905501,0.3236953455571227,0.2447108603667137,0.11777150916784206,0.047926267281106,0.004608294930875576,0.05207373271889401,0.06820276497695853,0.002764976958525345,0.271889400921659,-0.19497517425342914,-0.045851408052934084,-0.048195476899080755,-0.02234100778608909
